Hoodie Unique Name,Hoodie Design,Category Area,Hoodie Name,Live/Development,Description (one sentence),Residency Complete,MOAH Complete,Professor Complete,Song Complete,Embassy Complete,IMAGI-NATION Showcase Complete,Status of Tools Delivered,Design Phase,Development Phase,Production Phase,Release Phase,2024-2025 Engagement,10 Yr Project Impact Status,Annual Project Status,Impact Baseline,Impact Snapshot (photo),Impact One Liner,Resources,Impact Potential,Projected $ value (ROI)per unit,Completion Date
MapOrientation,Hoodie black.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/g3QRClrKv6VIpkmXoszJtQ/Ve0Q_DKc4Hocj_Ekpq6mcm1zETU0Jy5fhhRFmZ32W2ymlM4m-uxjWhx6Zhp71u7xIkK_F6aLXxwflaZJtm93dNq0-dIaD_8N9K1mR9XhNWSLrv5q98OLXLxicgJa5Y0F0jdjEa3xKi73vm0oKshAIwNzYOMBzkQ5ac_apE3HG7Q/W4B-sHX9jpWyPlYaLQDAqANw_6lGq0sVq8vr9yQhLN0),Orientation,Map,,,,,,,,,0,,,,,,,0%,,,,,,,
UNCx5Orientation,Hoodie black.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/g3QRClrKv6VIpkmXoszJtQ/Ve0Q_DKc4Hocj_Ekpq6mcm1zETU0Jy5fhhRFmZ32W2ymlM4m-uxjWhx6Zhp71u7xIkK_F6aLXxwflaZJtm93dNq0-dIaD_8N9K1mR9XhNWSLrv5q98OLXLxicgJa5Y0F0jdjEa3xKi73vm0oKshAIwNzYOMBzkQ5ac_apE3HG7Q/W4B-sHX9jpWyPlYaLQDAqANw_6lGq0sVq8vr9yQhLN0),Orientation,UNCx5,,,,,,,,,0,,,,,,,0%,,,,,innovation model for organising teams,,
ImaginationKnowledge,Hoodie black.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/g3QRClrKv6VIpkmXoszJtQ/Ve0Q_DKc4Hocj_Ekpq6mcm1zETU0Jy5fhhRFmZ32W2ymlM4m-uxjWhx6Zhp71u7xIkK_F6aLXxwflaZJtm93dNq0-dIaD_8N9K1mR9XhNWSLrv5q98OLXLxicgJa5Y0F0jdjEa3xKi73vm0oKshAIwNzYOMBzkQ5ac_apE3HG7Q/W4B-sHX9jpWyPlYaLQDAqANw_6lGq0sVq8vr9yQhLN0),Knowledge,Imagination,,,,,,,,,0,,,,,,,0%,,,,,the price of knowing what's next,,
MentoringKnowledge,Hoodie black.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/g3QRClrKv6VIpkmXoszJtQ/Ve0Q_DKc4Hocj_Ekpq6mcm1zETU0Jy5fhhRFmZ32W2ymlM4m-uxjWhx6Zhp71u7xIkK_F6aLXxwflaZJtm93dNq0-dIaD_8N9K1mR9XhNWSLrv5q98OLXLxicgJa5Y0F0jdjEa3xKi73vm0oKshAIwNzYOMBzkQ5ac_apE3HG7Q/W4B-sHX9jpWyPlYaLQDAqANw_6lGq0sVq8vr9yQhLN0),Knowledge,Mentoring,,,,,,,,,0,,,,,,,0%,,,,,value every life on earth for at least 7 generations,,
CustodianshipKnowledge,Hoodie black.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/g3QRClrKv6VIpkmXoszJtQ/Ve0Q_DKc4Hocj_Ekpq6mcm1zETU0Jy5fhhRFmZ32W2ymlM4m-uxjWhx6Zhp71u7xIkK_F6aLXxwflaZJtm93dNq0-dIaD_8N9K1mR9XhNWSLrv5q98OLXLxicgJa5Y0F0jdjEa3xKi73vm0oKshAIwNzYOMBzkQ5ac_apE3HG7Q/W4B-sHX9jpWyPlYaLQDAqANw_6lGq0sVq8vr9yQhLN0),Knowledge,Custodianship,,,,,,,,,0,,,,,,,0%,,,,,$125 trillion for nature-centred economy,,
TrashionSpecial,wht hoodie.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/6qwMVsLCZkWpmA8pqQUa1w/63D_HU7bIhpwkSKLVsr31g44PJxH0rtgubBmnekEby3DiX5t-DeuvdHdJq2RjKeEVoBx37U92zymu-2bLm89lSk7Vj1VlZKnnx4XWpgGt9K3cBXWCHzDfhuGOHbQnB85fbwtFCyCMDnKc9SVwUVJLCXwB90gdZ1lUv6HYugtfsY/Syk0vCUeVc7fOzFCk6xPN2GFPiqryboXofTUoMxiAfA),Special,Trashion,,100 trashion shows activated around the world,,,,,,,0,,,,,,1.000%,0%,own visa below the line,,,,,,
CUNYSpecial,,Special,CUNY,,,,,,,,,0,,,,,,,0%,175 hoodies for CUNY - sits under MOAH (MOAH alumni impact projects),,,,,,
The Other ElectionAlumni,Hoodie_Pink.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/qPcppqSI542rJbImjrmm2A/bTfgZuRQ3GvPm_Rt8K5XnnKdSh2NU-j39uucSqv5uG-rbAZcBI_dSUHKPDFFm2LeENvk2MgcZG8_pFWuqzBMl_AHZRWQXyn3HRS-pWV94pE9KplczvDpRettuF70e4X1tDDNJrFufOaqpqGldajtTXtEPkcUtHMg-QO-t8DP9_I/lyWjMdUQZF2nZdIFQ9U2exm9yB9S4iNOsG5Rx-QRZ5Y),Alumni,The Other Election,,"September 2013 The Other Election showcased over 600 Indigenous youth in years 10-12 standing up for what they believe in; seeing an Indigenous Prime Minister in their lifetime. Over 70,000 Australians voted and the top 3 got to meet the Prime Minister and Governor General.",,,,,,,0,,,,,,100.000%,20%,700 Indigenous youth presented their speeches,,,https://www.youtube.com/watch?v=d4uJ9qK6H3U,,,30/9/2013
Alumni of the Month Alumni,Hoodie_Pink.png (https://v5.airtableusercontent.com/v3/u/40/40/1746014400000/qPcppqSI542rJbImjrmm2A/bTfgZuRQ3GvPm_Rt8K5XnnKdSh2NU-j39uucSqv5uG-rbAZcBI_dSUHKPDFFm2LeENvk2MgcZG8_pFWuqzBMl_AHZRWQXyn3HRS-pWV94pE9KplczvDpRettuF70e4X1tDDNJrFufOaqpqGldajtTXtEPkcUtHMg-QO-t8DP9_I/lyWjMdUQZF2nZdIFQ9U2exm9yB9S4iNOsG5Rx-QRZ5Y),Alumni,Alumni of the Month ,,"Introducing the alumni of the month hoodie, featuring AIME alumni and the projects they are working on now.",,,,,,,0,,,,,,0.000%,0%,100 hoodies showcasing AIME alumni projects from now until March 2033.,,,,,,31/3/2033
Nature FundSun (Nature Fund),,Sun (Nature Fund),Nature Fund,In Development,,,,,,,,0,,,,,,,0%,,,,,,,
Organisational Death PledgesSunset (Death),,Sunset (Death),Organisational Death Pledges,Live,,,,,,,,0,,,,,,,0%,,,,,,,
